,Column,real_search,ingredient,page_title,episode_no,Title,airdate,episode_notes,page_url,description
809,809,,Formaggio Di Fossa,Formaggio di Fossa,195,Gyro We Go Again,6/25/2013,,http://en.wikipedia.org/wiki/Formaggio_di_Fossa,"Formaggio di Fossa is a cheese from Sogliano al Rubicone in the Emilia-Romagna region of Italy. The cheese's name, which literally means ""cheese of the pit"", is derived from the process of ripening the cheese in special underground pits. The cheese is currently produced in the areas between the Rubicon and Marecchia river valleys. In 2009 formaggio di fossa was granted Denominazione di Origine Protetta status, the Italian equivalent of protected designation of origin.
"
810,810,,Fortune Cookies,Fortune cookie,131,Reversal of Fortune,5/8/2012,,http://en.wikipedia.org/wiki/Fortune_cookie,"A fortune cookie is a crisp cookie usually made from flour, sugar, vanilla, and sesame seed oil with a ""fortune"" wrapped inside. A ""fortune"" is a piece of paper with words of wisdom, an aphorism, or a vague prophecy. The message inside may also include a Chinese phrase with translation or a list of lucky numbers used by some as lottery numbers, some of which have become actual winning numbers.
Fortune cookies are often served as a dessert in Chinese restaurants in the United States and some other countries, but are absent in China. "
811,811,,Fortune Cookies,Fortune cookie,209,We Love Leftovers!,9/17/2013,The baskets are filled with leftovers.,http://en.wikipedia.org/wiki/Fortune_cookie,"A fortune cookie is a crisp cookie usually made from flour, sugar, vanilla, and sesame seed oil with a ""fortune"" wrapped inside. A ""fortune"" is a piece of paper with words of wisdom, an aphorism, or a vague prophecy. The message inside may also include a Chinese phrase with translation or a list of lucky numbers used by some as lottery numbers, some of which have become actual winning numbers.
Fortune cookies are often served as a dessert in Chinese restaurants in the United States and some other countries, but are absent in China. "
812,812,,Freeze Dried Carrots,List of dried foods,186,Military Salute,5/28/2013,Each chef is a retired member of the U.S. military. Each round featured an item that might be found in a military pantry.,http://en.wikipedia.org/wiki/List_of_dried_foods,"Drying is a method of food preservation that works by removing water from the food, which inhibits the growth of bacteria and has been practiced worldwide since ancient times to preserve food. Where or when dehydration as a food preservation technique was invented has been lost to time, however the earliest known practice of food drying is 12,000 BC by inhabitants of the modern Middle East and Asia regions.
"
813,813,,Fregola,Fregula,71,All-Stars Tournament: Round One - Competitors from The Next Food Network Star,3/6/2011,This was the first of a five-part series of episodes in which categorical groups of celebrity chefs competed for charity.,http://en.wikipedia.org/wiki/Fregula,"Fregula (also fregola) is a type of pasta from Sardinia. It is similar to Israeli couscous. Fregula comes in varying sizes, but typically consists of semolina dough that has been rolled into balls 2-3 mm in diameter and toasted in an oven.
A typical preparation of fregula is to simmer it in a tomato-based sauce with clams.
"
814,814,,French Dressing,French dressing,80,Saying Sayonara,5/17/2011,,http://en.wikipedia.org/wiki/French_dressing,"French dressing is a term used for different salad dressings in different countries. Initially the term was a synonym for ""vinaigrette"".
In the United States and Canada, it refers to an oil and vinegar based dressing that is usually rather sweet. Ketchup is one ingredient, making it red to orange in color; sugar is added for sweetness. "
815,815,,French Fingerling Potatoes,French Fingerling (potato),93,A is for Apple. U is for Udon,8/16/2011,"This episode was dedicated to the memory of Debra Whiting, who was killed in a car accident June 30, 2011.",http://en.wikipedia.org/wiki/French_Fingerling_(potato),"French Fingerling is a late-maturing fingerling potato variety.
"
816,816,,French Fries,French fries,209,We Love Leftovers!,9/17/2013,The baskets are filled with leftovers.,http://en.wikipedia.org/wiki/French_fries,"French fries (American English) or chips, fries, finger chips, or French-fried potatoes are batons of deep-fried potato. Americans and most Canadians refer to any elongated pieces of fried potatoes as fries, while in the United Kingdom, Australia, Ireland and New Zealand, long, thinly cut slices of fried potatoes are sometimes called fries to distinguish them from the more thickly cut strips called chips.
French fries are served hot and generally eaten as an accompaniment with lunch or dinner, or eaten as a snack, and they are a common fixture of fast food. French fries are generally salted and, in their simplest and most common form, are served with ketchup; in many countries, though, they are topped instead with other condiments or toppings, including vinegar, mayonnaise, or other local specialities. "
817,817,,French Toast,French toast,227,Bacon Baskets!,2/16/2014,Bacon appears in every basket.,http://en.wikipedia.org/wiki/French_toast,"French toast, also known as eggy bread or gypsy toast, is a dish of bread soaked in beaten eggs and then fried.
When French toast is served as a sweet dish, milk, sugar, vanilla or cinnamon are also commonly added before pan-frying, and then it may be topped with sugar (often powdered sugar), butter, fruit, or syrup. "
818,818,French toast,French Toast Sticks,,176,Chopped All-Stars: Judges,4/21/2013,All of the contestants in this episode except for Scott Conant have competed on Chopped previously.,,
819,819,,French-fried Onions,Onion ring,152,No Kidding!,10/2/2012,"This episode featured four teen chefs. The chefs were given 30 minutes instead of the usual 20 in the appetizer round. The three chopped chefs each received a $1,000 gift certificate to Food Network's online store.",http://en.wikipedia.org/wiki/Onion_ring,"Onion rings are a form of fast food commonly found in the United States, Canada, United Kingdom, Ireland, Australia, and some parts of Asia. They generally consist of a cross-sectional ""ring"" of onion (the circular structure of which lends itself well to this method of preparation) dipped in batter or bread crumbs and then deep fried; a variant is made with onion paste. Whole onion rings make for better presentation through a variety of sizes, while those made from a paste offer quantity through consistent size. Consumers of whole onion rings run the risk of pulling the onion out of the batter if they fail to cut it all the way through with their teeth; onion rings made of onion paste break apart easily, while oil absorbency diminishes the onion taste. "
820,820,,French-fried Onions,Onion ring,157,Happy Turkey Gizzards Day!,11/13/2012,This was a Thanksgiving-themed episode. The chefs were directed to prepare holiday-themed dishes for each course. The chefs were given 40 minutes instead of the usual 30 in the entrée round to allow time to adequately butcher and cook the turkey.,http://en.wikipedia.org/wiki/Onion_ring,"Onion rings are a form of fast food commonly found in the United States, Canada, United Kingdom, Ireland, Australia, and some parts of Asia. They generally consist of a cross-sectional ""ring"" of onion (the circular structure of which lends itself well to this method of preparation) dipped in batter or bread crumbs and then deep fried; a variant is made with onion paste. Whole onion rings make for better presentation through a variety of sizes, while those made from a paste offer quantity through consistent size. Consumers of whole onion rings run the risk of pulling the onion out of the batter if they fail to cut it all the way through with their teeth; onion rings made of onion paste break apart easily, while oil absorbency diminishes the onion taste. "
821,821,Chickpea,Fresh Chickpeas,,33,Flower Power,3/14/2010,,,
822,822,Chickpea,Fresh Chickpeas,,94,Champions' Tournament: Part 1,8/30/2011,"This was the first of a five-part series of episodes, where sixteen past champions competed. The winner of each preliminary round advanced to the finale, where they competed for $50,000.",,
823,823,Cranberry,Fresh Cranberries,,105,Give It Your All,11/15/2011,This was a Thanksgiving-themed episode. The chefs were directed to prepare holiday-themed dishes for each course.,,
824,824,,Fresh Fava Beans,Vicia faba,84,Bite Your Pickled Beef Tongue,6/14/2011,,http://en.wikipedia.org/wiki/Vicia_faba,"Vicia faba, also known as the broad bean, fava bean, faba bean, field bean, bell bean, or tic bean, is a species of bean (Fabaceae) native to North Africa, southwest and south Asia, and extensively cultivated elsewhere. A variety Vicia faba var. equina Pers. "
825,825,Chickpea,Fresh Garbanzo Beans,,70,Step Right Up!,2/1/2011,,,
826,826,,Fresh Pasta,Pasta,39,Chopped Liver,5/2/2010,,http://en.wikipedia.org/wiki/Pasta,"Pasta is a staple food of traditional Italian cuisine, with the first reference dating to 1154 in Sicily. It is also commonly used to refer to the variety of pasta dishes. Typically pasta is made from an unleavened dough of a durum wheat flour mixed with water and formed into sheets or various shapes, then cooked and served in any number of dishes. It can be made with flour from other cereals or grains, and eggs may be used instead of water. "
827,827,,Fresh Pasta,Pasta,49,Keep On Cook'n On,6/22/2010,,http://en.wikipedia.org/wiki/Pasta,"Pasta is a staple food of traditional Italian cuisine, with the first reference dating to 1154 in Sicily. It is also commonly used to refer to the variety of pasta dishes. Typically pasta is made from an unleavened dough of a durum wheat flour mixed with water and formed into sheets or various shapes, then cooked and served in any number of dishes. It can be made with flour from other cereals or grains, and eggs may be used instead of water. "
828,828,,Fresh Pasta Sheets,Pasta,121,Sound the Alarm!,3/20/2012,This episode featured four F.D.N.Y firefighters.,http://en.wikipedia.org/wiki/Pasta,"Pasta is a staple food of traditional Italian cuisine, with the first reference dating to 1154 in Sicily. It is also commonly used to refer to the variety of pasta dishes. Typically pasta is made from an unleavened dough of a durum wheat flour mixed with water and formed into sheets or various shapes, then cooked and served in any number of dishes. It can be made with flour from other cereals or grains, and eggs may be used instead of water. "
829,829,,Fresh Pasta Sheets,Pasta,188,Better Saffron Than Sorry,6/4/2013,Chef Ramborger is the first deaf chef to participate in the show. He was accompanied by interpreter Lydia Callis.,http://en.wikipedia.org/wiki/Pasta,"Pasta is a staple food of traditional Italian cuisine, with the first reference dating to 1154 in Sicily. It is also commonly used to refer to the variety of pasta dishes. Typically pasta is made from an unleavened dough of a durum wheat flour mixed with water and formed into sheets or various shapes, then cooked and served in any number of dishes. It can be made with flour from other cereals or grains, and eggs may be used instead of water. "
830,830,,Fresh Sardines,Sardine (food),38,Against the Tide,4/19/2010,"This was the first episode to feature an ingredient, violet mustard, that the judges were not familiar with.",http://en.wikipedia.org/wiki/Sardine_(food),"Sardines are a common type of fish consumed by humans, as sardines are rich in nutrients. They are commonly served in cans, but fresh sardines are often grilled, pickled or smoked.
Sardines, or pilchards, are several types of small, oily fish related to herrings, family Clupeidae. The term sardine was first used in English during the early 15th century, and may come from the Mediterranean island of Sardinia, around which sardines were once abundant.
"
831,831,,Fried Onion Blossom,Blooming onion,166,Leftovers Overload,1/6/2013,The ingredients used in this episode were leftovers.,http://en.wikipedia.org/wiki/Blooming_onion,"A blooming onion, onion bloom, onion blossom, or onion 'mum is a dish consisting of one large onion which is cut to resemble a flower, battered and deep-fried. It is served as an appetizer at some restaurants.
"
